id,target,atom1,atom2,s1,p1,d1,f1,occ_s1,occ_p1,occ_d1,occ_f1,valence1,vdw1,ionic1,covalent1,e_neg1,hardness1,group1,row1,top1,sblock1,pblock1,dblock1,fblock1,s2,p2,d2,f2,occ_s2,occ_p2,occ_d2,occ_f2,valence2,vdw2,ionic2,covalent2,e_neg2,hardness2,group2,row2,top2,sblock2,pblock2,dblock2,fblock2,bondlen,n_nbr
mp-23268,3.5687,I,Na,-0.596339,-0.267904,-1.938179,0,2,5,10,0,7,1.98,1.273333333,1.39,2.66,3.82,17,5,-0.267904,0,1,0,0,-0.103415,-1.060636,0,0,1,0,0,0,1,2.27,1.16,1.66,0.93,-0.03,1,3,-0.103415,1,0,0,0,3.21865664,6
mp-1519,1.5535,Te,Ca,-0.520997,-0.226594,-1.608381,0,2,4,10,0,6,2.06,1.293333333,1.38,2.1,2.58,16,5,-0.226594,0,1,0,0,-0.141411,-1.030572,0,0,2,0,0,0,2,2.31,1.14,1.76,1,0.04,2,4,-0.141411,1,0,0,0,3.195854214,6
mp-10759,0.0153,Se,Ge,-0.621248,-0.245806,-2.011392,0,2,4,10,0,6,1.9,1.013333333,1.2,2.55,3.09,16,4,-0.245806,0,1,0,0,-0.426523,-0.149882,-1.117316,0,2,2,10,0,4,2.11,0.77,1.2,2.01,1.69,14,4,-0.149882,0,1,0,0,2.808453527,6
mp-1253,1.9488,Se,Ba,-0.621248,-0.245806,-2.011392,0,2,4,10,0,6,1.9,1.013333333,1.2,2.55,3.09,16,4,-0.245806,0,1,0,0,-0.118967,-0.698605,0,0,2,0,0,0,2,2.68,1.49,2.15,0.89,-0.36,2,6,-0.118967,1,0,0,0,3.333621774,6
mp-23251,4.3224,Br,K,-0.720066,-0.295334,-2.52211,0,2,5,10,0,7,1.85,0.8825,1.2,2.96,4.73,17,4,-0.295334,0,1,0,0,-0.088815,-0.693776,0,0,1,0,0,0,1,2.75,1.52,2.03,0.82,-0.99,1,4,-0.088815,1,0,0,0,3.294540944,6
mp-1415,2.0728,Se,Ca,-0.621248,-0.245806,-2.011392,0,2,4,10,0,6,1.9,1.013333333,1.2,2.55,3.09,16,4,-0.245806,0,1,0,0,-0.141411,-1.030572,0,0,2,0,0,0,2,2.31,1.14,1.76,1,0.04,2,4,-0.141411,1,0,0,0,2.970238038,6
mp-22867,4.192,Br,Rb,-0.720066,-0.295334,-2.52211,0,2,5,10,0,7,1.85,0.8825,1.2,2.96,4.73,17,4,-0.295334,0,1,0,0,-0.085375,-0.59217,0,0,1,0,0,0,1,3.03,1.66,2.2,0.82,-0.79,1,5,-0.085375,1,0,0,0,3.455949709,6
mp-682,6.204,F,Na,-1.086859,-0.415606,0,0,2,5,0,0,7,1.47,0.705,0.57,3.98,7.31,17,2,-0.415606,0,1,0,0,-0.103415,-1.060636,0,0,1,0,0,0,1,2.27,1.16,1.66,0.93,-0.03,1,3,-0.103415,1,0,0,0,2.285893512,6
mp-1138,8.6959,F,Li,-1.086859,-0.415606,0,0,2,5,0,0,7,1.47,0.705,0.57,3.98,7.31,17,2,-0.415606,0,1,0,0,-0.10554,0,0,0,1,0,0,0,1,1.82,0.9,1.28,0.98,0.06,1,2,-0.10554,1,0,0,0,2.041713517,6
mp-1008786,0.4271,Te,Mg,-0.520997,-0.226594,-1.608381,0,2,4,10,0,6,2.06,1.293333333,1.38,2.1,2.58,16,5,-0.226594,0,1,0,0,-0.175427,-1.71897,0,0,2,0,0,0,2,1.73,0.86,1.41,1.31,0.78,2,3,-0.175427,1,0,0,0,2.972395218,6
mp-614603,3.8556,I,Cs,-0.596339,-0.267904,-1.938179,0,2,5,10,0,7,1.98,1.273333333,1.39,2.66,3.82,17,5,-0.267904,0,1,0,0,-0.078699,-0.504903,0,0,1,0,0,0,1,3.43,1.81,2.44,0.79,-1.35,1,6,-0.078699,1,0,0,0,3.905080347,6
mp-23870,3.7666,H,Na,-0.233471,0,0,0,1,0,0,0,1,1.1,0,0.31,2.2,4.32,1,1,-0.233471,1,0,0,0,-0.103415,-1.060636,0,0,1,0,0,0,1,2.27,1.16,1.66,0.93,-0.03,1,3,-0.103415,1,0,0,0,2.38642145,6
mp-22903,3.7765,I,Rb,-0.596339,-0.267904,-1.938179,0,2,5,10,0,7,1.98,1.273333333,1.39,2.66,3.82,17,5,-0.267904,0,1,0,0,-0.085375,-0.59217,0,0,1,0,0,0,1,3.03,1.66,2.2,0.82,-0.79,1,5,-0.085375,1,0,0,0,3.691166965,6
