id,target,atom1,atom2,s1,p1,dblock1,valence1,vdw1,ionic1,covalent1,e_neg1,hardness1,group1,row1,vol1,top1,s2,p2,valence2,vdw2,ionic2,covalent2,e_neg2,hardness2,group2,row2,vol2,top2,A-B,AB-gap,AB-bondlen,n_nbr
mp-2534,0.1861,As,Ga,-0.328019,-0.101634,1,3,1.87,0.76,1.22,1.81,0.15,13,4,11.8,-0.101634,-0.52367,-0.197497,5,1.85,0.66,1.19,2.18,2.49,15,4,12.95,-0.197497,-0.130522,-1.9611992,2.489901753,4
mp-20351,0.4546,In,P,-0.290497,-0.101782,1,3,1.93,0.94,1.42,1.78,-0.22,13,5,15.76,-0.101782,-0.512364,-0.20608,5,1.8,0.55,1.07,2.19,2.69,15,3,17.02,-0.20608,-0.084417,-1.6026712,2.556486478,4
mp-2691,0.5096,Cd,Se,-0.204228,-2.39526,1,2,2.18,1.09,1.44,1.69,0.83,12,5,13,-0.204228,-0.621248,-0.245806,6,1.9,1.013333333,1.2,2.55,3.09,16,4,16.42,-0.245806,0.041578,0.0558608,2.658932518,4
mp-22914,0.5646,Cl,Cu,-0.172056,-2.609244,1,1,1.96,0.82,1.32,1.9,1.31,11,4,7.11,-0.172056,-0.754458,-0.32038,7,1.75,0.78,1.02,3.16,5.37,17,3,17.39,-0.32038,0.148324,1.4526064,2.312434585,4
mp-1184046,0.5736,Cl,Cu,-0.172056,-2.609244,1,1,1.96,0.82,1.32,1.9,1.31,11,4,7.11,-0.172056,-0.754458,-0.32038,7,1.75,0.78,1.02,3.16,5.37,17,3,17.39,-0.32038,0.148324,1.4436064,2.320556635,5
mp-12779,0.6186,Cd,Te,-0.204228,-2.39526,1,2,2.18,1.09,1.44,1.69,0.83,12,5,13,-0.204228,-0.520997,-0.226594,6,2.06,1.293333333,1.38,2.1,2.58,16,5,20.46,-0.226594,0.022366,-0.3144224,2.840662804,5
mp-2133,0.7227,O,Zn,-0.222725,-3.022363,1,2,2.01,0.88,1.22,1.65,1,12,4,9.16,-0.222725,-0.871362,-0.338381,6,1.52,1.26,0.66,3.44,4.8,16,2,17.36,-0.338381,0.115656,0.8502216,1.972790975,5
mp-1018100,0.9179,Al,Sb,-0.286883,-0.102545,0,3,1.84,0.675,1.21,1.61,0.35,13,3,10,-0.102545,-0.445605,-0.185623,5,2.06,0.83,1.39,2.05,1.95,15,5,18.19,-0.185623,-0.10126,-2.295036,2.674848995,5
mp-1008559,1.0624,B,P,-0.344701,-0.136603,0,3,1.92,0.41,0.84,2.04,1.6,13,2,4.39,-0.136603,-0.512364,-0.20608,5,1.8,0.55,1.07,2.19,2.69,15,3,17.02,-0.20608,-0.138621,-2.9476456,1.957404669,5
mp-8884,1.1003,Te,Zn,-0.222725,-3.022363,1,2,2.01,0.88,1.22,1.65,1,12,4,9.16,-0.222725,-0.520997,-0.226594,6,2.06,1.293333333,1.38,2.1,2.58,16,5,20.46,-0.226594,0.003869,-1.0476816,2.646195349,5
