mp-2534,0.1861,As,Ga,2.489901753
mp-20351,0.4546,In,P,2.556486478
mp-2691,0.5096,Cd,Se,2.658932518
mp-22914,0.5646,Cl,Cu,2.312434585
mp-1184046,0.5736,Cl,Cu,2.320556635
mp-12779,0.6186,Cd,Te,2.840662804
mp-2133,0.7227,O,Zn,1.972790975
mp-1018100,0.9179,Al,Sb,2.674848995
mp-1008559,1.0624,B,P,1.957404669
mp-8884,1.1003,Te,Zn,2.646195349
mp-984718,1.1428,As,B,2.080765741
mp-866291,1.1708,Ag,Br,2.701909489
mp-380,1.2004,Se,Zn,2.451641112
mp-569346,1.212,Cu,I,2.588189694
mp-1479,1.2435,B,P,1.96247586
mp-22925,1.3674,Ag,I,2.842377918
mp-2172,1.5037,Al,As,2.457693892
mp-2490,1.6039,Ga,P,2.360622533
mp-8881,1.687,Al,As,2.453515658
mp-8880,1.9533,Al,P,2.367536619
mp-561118,2.0338,S,Zn,2.333638286
mp-1178514,2.2061,Ba,O,2.609612066
mp-1039,2.3612,Mg,Te,2.801156443
mp-1541,2.6637,Be,Se,2.237782138
mp-1008223,3.1661,Ca,Se,2.857883835
mp-1185942,3.3878,Mg,S,2.446978999
mp-661,4.0467,Al,N,1.9017283
mp-1639,4.4506,B,N,1.570104921
mp-2653,5.1976,B,N,1.567109869
mp-1778,6.8477,Be,O,1.644370389
mp-1185301,7.4776,F,Li,1.848403115
